metric	candidates_median	candidates_mean	known_ucoe_median	known_ucoe_mean	controls_median	controls_mean	U_statistic	p_value	effect_size_r	q_value_bh	significant_fdr05
flexibility_mean	0.030947488584474898	0.030937244886648087	0.030862745098039226	0.030905593943169347	0.030940792137378374	0.030965764005316903	57139.0	0.3286689180082841	0.04609348914858091	0.3423634562586293	False
stiffness_mean	1.0390501474926255	1.0395076513535262	1.0442489595157018	1.038548571738149	1.0443752167900735	1.0432612492990259	45223.0	2.0664788142385145e-07	0.24502504173622708	7.380281479423266e-07	True
bendability_mean	0.03200000000000001	0.03198058591514503	0.03176835730507192	0.03192787594915272	0.03193590275472951	0.03195810865011697	65642.0	0.042192082135985874	-0.09585976627712856	0.055515897547349834	False
gc_content	0.6596091205211726	0.6605953283886904	0.653555219364599	0.643351031497221	0.6971102611819318	0.692811364214548	37609.5	3.0884177745878543e-15	0.3721285475792988	1.544208887293927e-14	True
cpg_obs_exp	0.8629040805511394	0.8598217606066456	0.8299116785355317	0.8616117214405458	0.830500035118484	0.8437659749032721	69359.0	0.0008172806324461625	-0.15791318864774628	0.0011365617341009284	True
cpg_density	92.1544209215442	93.97587891871856	99.47049924357034	90.75113159696089	97.9898087456227	100.05143580628172	49367.5	0.00019397865475594947	0.17583472454090154	0.0004849466368898737	True
poly_at_fraction	0.0	0.0057135263009692695	0.009077155824508321	0.01821068953570043	0.0	0.0040541790329914566	69366.0	0.0002644454279660344	-0.15803005008347237	0.0005509279749292384	True
nuc_score_mean	0.10623784540422733	0.10627556409739766	0.10006338984104778	0.09829086782081575	0.12081382619897572	0.11899992701634311	36402.0	9.209914253118703e-17	0.3922871452420701	5.756196408199189e-16	True
nuc_depleted_fraction	0.0	0.008984951077531283	0.024962178517397883	0.06423597043379616	0.0	0.001034084422305841	64565.0	0.0005454632947112991	-0.07787979966611025	0.001048967874444806	True
nuc_enriched_fraction	0.6344086021505376	0.630318787760559	0.523071104387292	0.5592893479211319	0.8473054692076796	0.7963676061434921	35584.5	7.044440233401136e-18	0.40593489148580963	5.870366861167613e-17	True
poly_at_tracts	0.0	1.2470784641068446	4.0	5.333333333333333	0.0	0.91	68738.5	0.0006069280301594527	-0.14755425709515868	0.0010838000538561654	True
poly_at_coverage	0.0	0.0057135263009692695	0.009077155824508321	0.01821068953570043	0.0	0.0040541790329914566	69366.0	0.0002644454279660344	-0.15803005008347237	0.0005509279749292384	True
nfr_score	0.0	0.008003523644562676	0.020196671709531013	0.050428386164367435	0.0	0.0019401128055115257	70661.0	3.48917020498372e-05	-0.17964941569282145	0.00010903656890574125	True
ww_periodicity_snr	4.588275360507873	4.823339581298305	3.7354421832206826	4.07758924771192	4.758758538423569	5.5126916745541985	56902.0	0.288844198637065	0.0500500834724541	0.3139610854750706	False
ss_periodicity_snr	5.017829025357526	5.2943894132623015	4.513078336632729	5.4059350292176305	4.692303745311252	5.493205091480346	63156.0	0.24934021286927088	-0.05435726210350578	0.2833411509878078	False
ww_peak_period	10.343434343434344	10.39415162387723	9.394495412844037	9.943968990662377	10.448979591836734	10.434449615507612	58391.0	0.593381558460879	0.02519198664440736	0.593381558460879	False
ss_peak_period	10.448979591836734	10.432412572503967	9.266968325791856	9.750136692078462	10.138613861386139	10.334090887368154	63923.5	0.15444785772766237	-0.06717028380634393	0.18386649729483617	False
ww_ss_phase_diff	1.3256418514965622	1.3279376816040638	1.3213999046578622	1.4932636661503143	1.2819569664560828	1.2833294597331073	64874.0	0.07843070674412958	-0.08303839732888152	0.09803838343016197	False
ww_autocorr_10bp	0.018521563008534733	0.025890499854484383	0.06279056072682725	0.04909071785428082	0.006319549655267451	0.013316279781931369	69518.0	0.0006661690145172359	-0.16056761268781305	0.00111028169086206	True
ss_autocorr_10bp	0.025071610202295057	0.026742867638554043	0.08190530665608296	0.06109783109356658	0.011346023532856842	0.01058359671038466	69437.0	0.000739565942830906	-0.1592153589315526	0.0011365617341009284	True
ww_fraction	0.11197411003236246	0.11478897589013329	0.1381006432084752	0.1372842117237794	0.081203007518797	0.08621233074135567	86425.0	6.252827456912047e-21	-0.442821368948247	7.81603432114006e-20	True
ss_fraction	0.4306569343065693	0.4353488113221084	0.4449489216799092	0.4235088636367152	0.47446524443939436	0.47113407029352017	40533.0	7.241579428185622e-12	0.32332220367278797	3.0173247617440093e-11	True
dinuc_entropy	3.8129266813373257	3.791481317135535	3.8236438967192803	3.7843340711594777	3.7194998167314743	3.704469936933681	86560.0	3.969270538799534e-21	-0.4450751252086811	7.81603432114006e-20	True
markov_deviation	0.14589493881474172	0.1477757857176412	0.15498218976304487	0.1623308240052942	0.15832576840627197	0.16435934220082857	48694.0	7.338114750147668e-05	0.1870784641068447	0.00020383652083743524	True
rho_cg	0.8639121460658018	0.8608442802049133	0.830928727161188	0.8622293660946844	0.8315337859084089	0.8447350271190466	69358.0	0.0008183244485526684	-0.1578964941569283	0.0011365617341009284	True
